2023-11-13 15:04:26.623 | INFO     | scripts.train_CUB:train_val:49 - config: {'seed': 60, 'm': 16, 'alpha': 1, 'beta': 1.0, 'beta2': 0.01, 'mome': 0.9, 'epoch_change': 9, 'sigma': 1.0, 'gamma': 20.0, 'lambda': 0.0001, 'mu': 1, 'nu': 1, 'eta': 55, 'dcc_iter': 10, 'optimizer': {'type': <class 'torch.optim.rmsprop.RMSprop'>, 'optim_param': {'lr': 1e-05, 'weight_decay': 1e-05}}, 'resize_size': 256, 'crop_size': 224, 'batch_size': 64, 'net': <class 'model.Net.MoCo'>, 'dataset': 'imagenet', 'without_BN': False, 'epoch': 1000, 'test_map': 3, 'stop_iter': 10, 'device': device(type='cuda'), 'n_gpu': 1, 'bit_list': [16], 'max_norm': 5.0, 'T': 0.001, 'resnet_url': '../../Pretrain/resnet50-19c8e357.pth', 'url': '../../Pretrain/moco_v2_800ep_pretrain.pth', 'txt_path': '../../data/glove/glove.6B.50d.txt', 'label_size': 100, 'update_center': False, 'topk': 1000, 'n_class': 100, 'data_path': '../../data/imagenet/', 'data': {'train_set': {'list_path': './data/imagenet/train.txt', 'batch_size': 64}, 'test_set': {'list_path': './data/imagenet/test.txt', 'batch_size': 64}, 'database': {'list_path': './data/imagenet/database.txt', 'batch_size': 64}}, 'order_seed': 80, 'center_path': './centerswithoutVar/CSQ_init_True_100_16.npy', 'CSQ_center': './CSQcenters/CSQ_100_16.npy', 'remarks': 'Ours', 'save_path': './results/imagenet/Ours', 'save_center': './results/imagenet/Ours/ours_16.npy', 'info': '[Ours]', 'loss_way': 'Ours', 'num_train': 13000}
2023-11-13 15:04:26.624 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 1/1000 15:04:26 bits: 16 dataset: imagenet loss way: Ours training...
2023-11-13 15:06:37.515 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.03852766245493994, center loss: 7.854270352050662, pair loss: 0
2023-11-13 15:06:37.515 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 2/1000 15:06:37 bits: 16 dataset: imagenet loss way: Ours training...
2023-11-13 15:08:40.372 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.029142521504385798, center loss: 5.940316516906023, pair loss: 0
2023-11-13 15:08:40.372 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 3/1000 15:08:40 bits: 16 dataset: imagenet loss way: Ours training...
2023-11-13 15:10:42.224 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.026770687232926197, center loss: 5.456886140629649, pair loss: 0
2023-11-13 15:25:51.042 | INFO     | scripts.train_CUB:train_val:98 - save in ./results/imagenet/Ours
2023-11-13 15:25:51.043 | INFO     | scripts.train_CUB:train_val:108 - [Ours] 3/1000 15:08:40 bits: 16 dataset: imagenet Best mAP: 0.7715948999737571, current mAP: 0.7715948999737571
2023-11-13 15:25:51.043 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 4/1000 15:25:51 bits: 16 dataset: imagenet loss way: Ours training...
2023-11-13 15:27:53.287 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.02559587787654178, center loss: 5.217470120638609, pair loss: 0
2023-11-13 15:27:53.288 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 5/1000 15:27:53 bits: 16 dataset: imagenet loss way: Ours training...
2023-11-13 15:29:55.306 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.024720012347268706, center loss: 5.039020169526339, pair loss: 0
2023-11-13 15:29:55.306 | INFO     | scripts.train_CUB:train_val:54 - [Ours] 6/1000 15:29:55 bits: 16 dataset: imagenet loss way: Ours training...
2023-11-13 15:31:56.876 | INFO     | scripts.train_CUB:train_val:82 - train loss: 0.024205037913120845, center loss: 4.934093851596117, pair loss: 0
2023-11-13 15:41:02.683 | INFO     | scripts.train_CUB:train_val:98 - save in ./results/imagenet/Ours
